date,weekday,dayofmonth,num_weekdayofmonth,,week_num,datestring
2020-02-18,Tue,18,4,3,Tue-3,2020-02-18
2020-02-19,Wed,19,5,3,Wed-3,2020-02-19
2020-02-20,Thu,20,6,3,Thu-3,2020-02-20
2020-02-21,Fri,21,7,3,Fri-3,2020-02-21
2020-02-22,Sat,22,1,4,Sat-4,2020-02-22
2020-02-23,Sun,23,2,4,Sun-4,2020-02-23
2020-02-24,Mon,24,3,4,Mon-4,2020-02-24
2020-02-25,Tue,25,4,4,Tue-4,2020-02-25
2020-02-26,Wed,26,5,4,Wed-4,2020-02-26
2020-02-27,Thu,27,6,4,Thu-4,2020-02-27
2020-02-28,Fri,28,7,4,Fri-4,2020-02-28
2020-02-29,Sat,29,1,5,Sat-5,2020-02-29
2020-03-01,Sun,1,1,1,Sun-1,2020-03-01
2020-03-02,Mon,2,2,1,Mon-1,2020-03-02
2020-03-03,Tue,3,3,1,Tue-1,2020-03-03
2020-03-04,Wed,4,4,1,Wed-1,2020-03-04
2020-03-05,Thu,5,5,1,Thu-1,2020-03-05
2020-03-06,Fri,6,6,1,Fri-1,2020-03-06
2020-03-07,Sat,7,7,1,Sat-1,2020-03-07
2020-03-08,Sun,8,1,2,Sun-2,2020-03-08
2020-03-09,Mon,9,2,2,Mon-2,2020-03-09
2020-03-10,Tue,10,3,2,Tue-2,2020-03-10
2020-03-11,Wed,11,4,2,Wed-2,2020-03-11
2020-03-12,Thu,12,5,2,Thu-2,2020-03-12
2020-03-13,Fri,13,6,2,Fri-2,2020-03-13
2020-03-14,Sat,14,7,2,Sat-2,2020-03-14
2020-03-15,Sun,15,1,3,Sun-3,2020-03-15
2020-03-16,Mon,16,2,3,Mon-3,2020-03-16
2020-03-17,Tue,17,3,3,Tue-3,2020-03-17
2020-03-18,Wed,18,4,3,Wed-3,2020-03-18
2020-03-19,Thu,19,5,3,Thu-3,2020-03-19
2020-03-20,Fri,20,6,3,Fri-3,2020-03-20
2020-03-21,Sat,21,7,3,Sat-3,2020-03-21
2020-03-22,Sun,22,1,4,Sun-4,2020-03-22
2020-03-23,Mon,23,2,4,Mon-4,2020-03-23
2020-03-24,Tue,24,3,4,Tue-4,2020-03-24
2020-03-25,Wed,25,4,4,Wed-4,2020-03-25
2020-03-26,Thu,26,5,4,Thu-4,2020-03-26
2020-03-27,Fri,27,6,4,Fri-4,2020-03-27
2020-03-28,Sat,28,7,4,Sat-4,2020-03-28
2020-03-29,Sun,29,1,5,Sun-5,2020-03-29
2020-03-30,Mon,30,2,5,Mon-5,2020-03-30
2020-03-31,Tue,31,3,5,Tue-5,2020-03-31
2020-04-01,Wed,1,1,1,Wed-1,2020-04-01
2020-04-02,Thu,2,2,1,Thu-1,2020-04-02
2020-04-03,Fri,3,3,1,Fri-1,2020-04-03
2020-04-04,Sat,4,4,1,Sat-1,2020-04-04
2020-04-05,Sun,5,5,1,Sun-1,2020-04-05
2020-04-06,Mon,6,6,1,Mon-1,2020-04-06
2020-04-07,Tue,7,7,1,Tue-1,2020-04-07
2020-04-08,Wed,8,1,2,Wed-2,2020-04-08
2020-04-09,Thu,9,2,2,Thu-2,2020-04-09
2020-04-10,Fri,10,3,2,Fri-2,2020-04-10
2020-04-11,Sat,11,4,2,Sat-2,2020-04-11
2020-04-12,Sun,12,5,2,Sun-2,2020-04-12
